year,zone_id,incident_name
2020,,No matched zones

2021,,No matched zones

2022,,No matched zones

2023,,No matched zones

2024,US-CA-XSD-SDC-0047,Grove 2 Fire
2024,US-CA-XSD-SDC-0048,Grove 2 Fire
2024,US-CA-XSD-SDC-0075,Grove 2 Fire
2024,US-CA-XSD-SDC-0076,Grove 2 Fire
2024,US-CA-XSD-SDC-0077,Grove 2 Fire
2024,US-CA-XSD-SDC-0078,Grove 2 Fire
2024,US-CA-XSD-SDC-0079,Grove 2 Fire
2024,US-CA-XSD-SDC-0080,Grove 2 Fire
2024,US-CA-XSD-SDC-0126,Grove 2 Fire
2024,US-CA-XSD-SDC-0127,Grove 2 Fire
2024,US-CA-XSD-SDC-0172,Grove 2 Fire
2024,US-CA-XSD-SDC-0173,Grove 2 Fire
2024,US-CA-XSD-SDC-0174,Grove 2 Fire
2024,US-CA-XSD-SDC-0175,Grove 2 Fire
2024,US-CA-XSD-SDC-0217,Grove 2 Fire
2024,US-CA-XSD-SDC-0218,Grove 2 Fire
2024,US-CA-XSD-SDC-0048,Nixon Fire
2024,US-CA-XSD-SDC-0076,Nixon Fire
2024,US-CA-XSD-SDC-0077,Nixon Fire
2024,US-CA-XSD-SDC-0078,Nixon Fire
2024,US-CA-XSD-SDC-0079,Nixon Fire
2024,US-CA-XSD-SDC-0080,Nixon Fire
2024,US-CA-XSD-SDC-0081,Nixon Fire
2024,US-CA-XSD-SDC-2098,Anita Fire
2024,US-CA-XSD-SDC-2217,Anita Fire
2024,US-CA-XSD-SDC-0293,Keys Fire
2024,US-CA-XSD-SDC-2326,Church 2 Fire
2024,US-CA-XSD-SDC-2327,Church 2 Fire
2024,US-CA-XSD-SDC-2114,Posta 3 Fire
2024,US-CA-XSD-SDC-2169,Posta 3 Fire
2024,US-CA-XSD-SDC-2170,Posta 3 Fire
2024,US-CA-XSD-SDC-2171,Posta 3 Fire
2024,US-CA-XSD-SDC-2172,Posta 3 Fire
2024,US-CA-XSD-SDC-2173,Posta 3 Fire
2024,US-CA-XSD-SDC-2240,Posta 3 Fire
2024,US-CA-XSD-SDC-2325,Posta 3 Fire
2024,US-CA-XSD-SDC-2326,Posta 3 Fire
2024,US-CA-XSD-SDC-2327,Posta 3 Fire
2024,US-CA-XSD-SDC-2328,Posta 3 Fire
2024,US-CA-XSD-SDC-2329,Posta 3 Fire
2024,US-CA-XSD-SDC-2215,Quarry Fire
2024,US-CA-XSD-SDC-0145,Garden Fire
2024,US-CA-XSD-SDC-0191,Garden Fire
2024,US-CA-XSD-SDC-0192,Garden Fire
2024,US-CA-XSD-SDC-0193,Garden Fire
2024,US-CA-XSD-SDC-0194,Garden Fire
2024,US-CA-XSD-SDC-0195,Garden Fire
2024,US-CA-XSD-SDC-0232,Garden Fire
2024,US-CA-XSD-SDC-0234,Garden Fire
2024,US-CA-XSD-SDC-2217,Millar Fire
2024,US-CA-XSD-SDC-2218,Millar Fire

2025,US-CA-XSD-SDC-0235,Lilac Fire
2025,US-CA-XSD-SDC-0236,Lilac Fire
2025,US-CA-XSD-SDC-0281,Lilac Fire
2025,US-CA-XSD-SDC-0282,Lilac Fire
2025,US-CA-XSD-SDC-0283,Lilac Fire
2025,US-CA-XSD-SDC-0285,Lilac Fire
2025,US-CA-XSD-SDC-0286,Lilac Fire
2025,US-CA-XSD-SDC-0287,Lilac Fire
2025,US-CA-XSD-SDC-0288,Lilac Fire
2025,US-CA-XSD-SDC-0289,Lilac Fire
2025,US-CA-XSD-SDC-0325,Lilac Fire
2025,US-CA-XSD-SDC-0326,Lilac Fire
2025,US-CA-XSD-SDC-0147,Pala Fire
2025,US-CA-XSD-SDC-1894,Friars Fire
2025,US-CA-XSD-SDC-1895,Friars Fire
2025,US-CA-XSD-SDC-1975,Friars Fire
2025,US-CA-XSD-SDC-1215,Center Fire
2025,US-CA-XSD-SDC-1217,Center Fire
2025,US-CA-XSD-SDC-1219,Center Fire
2025,US-CA-XSD-SDC-1220,Center Fire
2025,US-CA-XSD-SDC-1297,Center Fire
2025,US-CA-XSD-SDC-1299,Center Fire
2025,US-CA-XSD-SDC-2306,Border 2 Fire
2025,US-CA-XSD-SDC-2307,Border 2 Fire
2025,US-CA-XSD-SDC-2389,Border 2 Fire
2025,US-CA-XSD-SDC-2390,Border 2 Fire
2025,US-CA-XSD-SDC-2391,Border 2 Fire
2025,US-CA-XSD-SDC-2393,Border 2 Fire
2025,US-CA-XSD-SDC-2461,Border 2 Fire
2025,US-CA-XSD-SDC-2462,Border 2 Fire
2025,US-CA-XSD-SDC-2463,Border 2 Fire
2025,US-CA-XSD-SDC-2464,Border 2 Fire
2025,US-CA-XSD-SDC-2465,Border 2 Fire
2025,US-CA-XSD-SDC-2466,Border 2 Fire
2025,US-CA-XSD-SDC-2467,Border 2 Fire
2025,US-CA-XSD-SDC-2541,Border 2 Fire
2025,US-CA-XSD-SDC-2542,Border 2 Fire
2025,US-CA-XSD-SDC-2543,Border 2 Fire
2025,US-CA-XSD-SDC-2544,Border 2 Fire
2025,US-CA-XSD-SDC-2545,Border 2 Fire
2025,US-CA-XSD-SDC-2546,Border 2 Fire
2025,US-CA-XSD-SDC-2605,Border 2 Fire
2025,US-CA-XSD-SDC-1577,Gilman Fire
2025,US-CA-XSD-SDC-1647,Gilman Fire
2025,US-CA-XSD-SDC-1648,Gilman Fire
